x,y,z,trajectory,cluster
45.5,121.5,0,0,0
81.5,120.5,0,0,0
117,119.5,0,0,0
153,118,0,0,0
191,116.5,0,0,0
228,115.5,0,0,0
267.5,114,0,0,0
307,113,0,0,0
345.6667,111.8333,0,0,0
61.5,119.5,0,1,0
95.5,118,0,1,0
130,117,0,1,0
165.5,116,0,1,0
201,114.5,0,1,0
237.5,113.5,0,1,0
274.5,112.5,0,1,0
311.5,111,0,1,0
348.3333,109.8333,0,1,0
39.5,122.5,0,2,0
76,121.5,0,2,0
125.5,118.5,0,2,0
163.5,117.5,0,2,0
201.5,116,0,2,0
241,115,0,2,0
280.5,115,0,2,0
319.5,114.1667,0,2,0
36,124,0,3,0
59.5,123.5,0,3,0
83,122.5,0,3,0
106,121.5,0,3,0
131.5,120.5,0,3,0
155,119.5,0,3,0
179.5,119,0,3,0
204.5,118,0,3,0
230,117,0,3,0
256,116,0,3,0
281.5,115,0,3,0
308,114.5,0,3,0
334,113.6667,0,3,0
49.5,123,0,4,0
76,122,0,4,0
102,121.5,0,4,0
129,120.5,0,4,0
156,119,0,4,0
183,118,0,4,0
210.5,117.5,0,4,0
238.5,116,0,4,0
267,115,0,4,0
296,114,0,4,0
324.5,112.8333,0,4,0
51.5,125,0,5,0
75,124.5,0,5,0
98.5,123.5,0,5,0
122,122.5,0,5,0
146.5,121.5,0,5,0
171.5,120.5,0,5,0
196,120,0,5,0
221.5,119,0,5,0
246.5,118,0,5,0
272,117.5,0,5,0
298.5,117,0,5,0
324.1667,116.3333,0,5,0
46,121.5,0,6,0
73,121,0,6,0
99.5,120,0,6,0
127,119,0,6,0
155.5,118,0,6,0
183.5,117,0,6,0
212,116,0,6,0
241,115,0,6,0
270,114,0,6,0
300,112.5,0,6,0
329.3333,111.3333,0,6,0
46,124,0,7,0
73.5,123,0,7,0
100.5,122,0,7,0
128.5,121.5,0,7,0
156.5,120.5,0,7,0
185.5,119.5,0,7,0
214,118.5,0,7,0
243,117.5,0,7,0
272.5,116.5,0,7,0
303,115,0,7,0
332.6667,113.8333,0,7,0
43,108.5,0,8,0
67.5,107.5,0,8,0
92.5,106.5,0,8,0
117,105.5,0,8,0
142.5,104.5,0,8,0
168.5,103.5,0,8,0
194,102.5,0,8,0
220,101.5,0,8,0
246.5,100.5,0,8,0
274,99.5,0,8,0
301.5,98.5,0,8,0
328.6667,97.5,0,8,0
51.5,122.5,0,9,0
76,122.5,0,9,0
101,121.5,0,9,0
126.5,120.5,0,9,0
152,119.5,0,9,0
178,118.5,0,9,0
204.5,117.5,0,9,0
231,117,0,9,0
257,116,0,9,0
284.5,114.5,0,9,0
313,113.5,0,9,0
340.3333,112.3333,0,9,0
48,124.5,0,10,0
77.5,124,0,10,0
107,122.5,0,10,0
137,121.5,0,10,0
167.5,120.5,0,10,0
198.5,119.5,0,10,0
230,118.5,0,10,0
262,117.5,0,10,0
294.5,116,0,10,0
326.5,114.8333,0,10,0
44.5,121.5,0,11,0
69.5,121,0,11,0
94.5,120,0,11,0
120.5,119,0,11,0
146.5,118.5,0,11,0
172.5,117.5,0,11,0
198.5,116.6667,0,11,0
50.5,122.5,0,12,0
74,122,0,12,0
98,121,0,12,0
123,120,0,12,0
147,119,0,12,0
172.5,118,0,12,0
197.5,117.5,0,12,0
223.5,116.5,0,12,0
249.5,115.5,0,12,0
276,114.5,0,12,0
302.5,113.5,0,12,0
328.8333,112.5,0,12,0
38.5,123.5,0,13,0
63.5,122.5,0,13,0
88,121.5,0,13,0
114,120.5,0,13,0
152.5,119,0,13,0
179,118,0,13,0
218.5,117,0,13,0
245.5,116,0,13,0
286.5,114.5,0,13,0
322.3333,113.3333,0,13,0
45.5,119,0,14,0
70,118,0,14,0
95.5,117.5,0,14,0
121,116.5,0,14,0
146.5,115.5,0,14,0
172.5,114.5,0,14,0
198.5,113.5,0,14,0
238.5,112.5,0,14,0
265.5,111.5,0,14,0
293,110.5,0,14,0
324.5,109.5,0,14,0
44,123.5,0,15,0
68,122.5,0,15,0
93,121.5,0,15,0
118,121.5,0,15,0
142.5,120,0,15,0
168,119,0,15,0
194,118,0,15,0
219.5,117.5,0,15,0
246,116,0,15,0
272,115,0,15,0
299.5,114,0,15,0
326.1667,112.8333,0,15,0
42.5,122,0,16,0
68,121.5,0,16,0
92.5,120.5,0,16,0
118,119.5,0,16,0
143.5,118.5,0,16,0
170,117.5,0,16,0
209,116.5,0,16,0
235,115.5,0,16,0
262.5,114.5,0,16,0
290,113.5,0,16,0
317,112.5,0,16,0
49,123.5,0,17,0
77,123,0,17,0
104,121.5,0,17,0
132,120.5,0,17,0
160,119.5,0,17,0
189,118.5,0,17,0
218,117,0,17,0
246.5,117,0,17,0
276.5,116,0,17,0
307,115,0,17,0
336.6667,114.3333,0,17,0
49.5,121,0,18,0
75,120,0,18,0
101,119,0,18,0
127.5,118,0,18,0
167,117,0,18,0
194.5,116,0,18,0
221.5,115,0,18,0
248.5,114,0,18,0
277,113.5,0,18,0
305.5,112.5,0,18,0
333.5,111.6667,0,18,0
33.5,120,0,19,0
56.5,119,0,19,0
79.5,118,0,19,0
102,117.5,0,19,0
125.5,116.5,0,19,0
149,115.5,0,19,0
172.5,114.5,0,19,0
196.5,113.5,0,19,0
221,113,0,19,0
246,112,0,19,0
270.5,111,0,19,0
296,110,0,19,0
321,109,0,19,0
42,123.5,0,20,0
67.5,122.5,0,20,0
93,121.5,0,20,0
119,121,0,20,0
145.5,119.5,0,20,0
172,119,0,20,0
199,118,0,20,0
226,117,0,20,0
253.5,116,0,20,0
282,115,0,20,0
310,114,0,20,0
338,113,0,20,0
28,124.5,0,21,0
50.5,124,0,21,0
73,123,0,21,0
96,122,0,21,0
119.5,121,0,21,0
143.5,120.5,0,21,0
166.5,119.5,0,21,0
190,118.5,0,21,0
214.5,118,0,21,0
239.5,117.5,0,21,0
264,116.5,0,21,0
289,115.5,0,21,0
314.5,114.5,0,21,0
339.5,113.5,0,21,0
35.5,121.5,0,22,0
57.5,120.5,0,22,0
81.5,119.5,0,22,0
105,119,0,22,0
128,118,0,22,0
152,117,0,22,0
176,116,0,22,0
200.5,115.5,0,22,0
224.5,114,0,22,0
249.5,113,0,22,0
275,112.5,0,22,0
301,111.5,0,22,0
326.5,110.6667,0,22,0
36.5,124,0,23,0
59.5,123,0,23,0
83,122,0,23,0
107,121.5,0,23,0
130.5,120.5,0,23,0
154,119.5,0,23,0
178.5,118.5,0,23,0
203,117.5,0,23,0
228.5,117,0,23,0
253,116,0,23,0
278.5,115,0,23,0
304.5,114,0,23,0
329.8333,113,0,23,0
41,118,0,24,0
65,117,0,24,0
99.5,116.5,0,24,0
123.5,115,0,24,0
148.5,115,0,24,0
173.5,114.5,0,24,0
198,113,0,24,0
236,112,0,24,0
261.5,110.5,0,24,0
287,109.5,0,24,0
313.5,109,0,24,0
339.3333,108,0,24,0
54,122.5,0,25,0
78,121.5,0,25,0
101.5,120.5,0,25,0
123.5,120,0,25,0
147.5,119,0,25,0
171.5,118.5,0,25,0
196,117.5,0,25,0
219.5,117,0,25,0
245,116,0,25,0
270.5,115,0,25,0
296,114,0,25,0
321.5,113,0,25,0
40,106.5,0,26,0
65,105.5,0,26,0
90.5,104.5,0,26,0
116,103.5,0,26,0
143,102,0,26,0
169.5,101,0,26,0
195.5,100,0,26,0
222.5,99,0,26,0
250.5,98,0,26,0
278.5,97,0,26,0
306,96,0,26,0
333.8333,95,0,26,0
45.5,121.5,0,27,0
69,120.5,0,27,0
93,119.5,0,27,0
118,119,0,27,0
142.5,118,0,27,0
167.5,117.5,0,27,0
193,116.5,0,27,0
218,115.5,0,27,0
244,115.5,0,27,0
269.5,114.5,0,27,0
295,113,0,27,0
320.6667,112.1667,0,27,0
36,123,0,28,0
54.5,122.5,0,28,0
82.5,122,0,28,0
110,120.5,0,28,0
129,120,0,28,0
148.5,119,0,28,0
177,118,0,28,0
197,117.5,0,28,0
217,117,0,28,0
236.5,115.5,0,28,0
266,115,0,28,0
286.5,113,0,28,0
309.6667,111.6667,0,28,0
31.5,122.5,0,29,0
52,122,0,29,0
76,121,0,29,0
98,119.5,0,29,0
123,119.5,0,29,0
145.5,119,0,29,0
170,118,0,29,0
194.5,116.5,0,29,0
218.5,116.5,0,29,0
243.5,115.5,0,29,0
269.5,114.5,0,29,0
294.5,113.5,0,29,0
320,112.5,0,29,0
345.5,111.5,0,29,0
48.5,125,0,30,0
72.5,124,0,30,0
96,124,0,30,0
119.5,123.5,0,30,0
143.5,122.5,0,30,0
167,121.5,0,30,0
