x,y,z,trajectory,cluster
461.7644,291.7173,0,0,0
434.4592,288.7537,0,0,0
424.5359,294.8893,0,0,0
405.4051,292.1296,0,0,0
387.4712,284.6309,0,0,0
379.909,299.4809,0,0,0
355.1304,287.4768,0,0,0
339.7182,289.2696,0,0,0
318.4556,294.2181,0,0,0
298.7278,287.4298,0,0,0
288.2391,290.936,0,0,0
268.6674,291.53,0,0,0
258.4876,309.5213,0,0,0
263.1714,315.5871,0,0,0
264.0991,335.7815,0,0,0
248.198,356.1687,0,0,0
472.4894,282.0757,0,1,0
433.4341,274.5759,0,1,0
423.4554,280.6797,0,1,0
397.7423,282.8435,0,1,0
390.4565,279.5002,0,1,0
358.8473,286.9126,0,1,0
354.8222,284.5592,0,1,0
318.0011,284.7133,0,1,0
295.1267,287.9317,0,1,0
279.8185,292.3961,0,1,0
259.9665,296.9224,0,1,0
261.7157,314.9057,0,1,0
253.6007,334.4662,0,1,0
255.4637,361.8672,0,1,0
462.0096,284.6714,0,2,0
437.3258,281.7885,0,2,0
429.3344,280.5916,0,2,0
411.0254,278.2031,0,2,0
396.6629,294.1162,0,2,0
376.5186,294.0832,0,2,0
356.9008,281.14,0,2,0
337.7116,271.526,0,2,0
325.7753,291.7037,0,2,0
318.0031,282.6807,0,2,0
298.0679,294.0826,0,2,0
272.9618,273.8274,0,2,0
258.2746,293.1942,0,2,0
261.1886,300.7867,0,2,0
252.0548,314.8007,0,2,0
251.6866,350.6997,0,2,0
252.9369,356.0407,0,2,0
468.9987,291.5897,0,3,0
408.4914,282.8666,0,3,0
368.0902,289.6888,0,3,0
314.0123,288.514,0,3,0
268.4668,309.0546,0,3,0
264.5626,367.8952,0,3,0
467.8799,287.9316,0,4,0
434.6327,286.2649,0,4,0
408.446,290.2061,0,4,0
381.1773,291.3907,0,4,0
355.0603,280.4187,0,4,0
334.9675,283.1607,0,4,0
295.663,283.913,0,4,0
282.3292,290.3573,0,4,0
250.9057,301.228,0,4,0
265.1399,341.2228,0,4,0
254.5069,358.6094,0,4,0
458.4967,295.032,0,5,0
439.9735,291.7213,0,5,0
428.0418,290.2219,0,5,0
411.6793,287.2837,0,5,0
385.5824,283.5101,0,5,0
375.7869,290.185,0,5,0
356.5178,297.8025,0,5,0
336.1447,280.3838,0,5,0
330.7028,291.4739,0,5,0
312.3671,283.3215,0,5,0
302.2016,289.9406,0,5,0
279.1938,288.3116,0,5,0
273.9297,303.4717,0,5,0
261.7515,309.3757,0,5,0
260.4082,325.0172,0,5,0
262.7794,346.6014,0,5,0
253.2938,351.2646,0,5,0
454.2237,294.0975,0,6,0
434.7266,289.7054,0,6,0
412.653,295.6989,0,6,0
396.8568,293.2903,0,6,0
385.2773,294.1884,0,6,0
360.2524,297.8731,0,6,0
343.0463,290.1709,0,6,0
318.509,285.6678,0,6,0
305.2327,294.2464,0,6,0
283.5041,290.5053,0,6,0
254.0936,312.2444,0,6,0
254.8185,328.024,0,6,0
256.6085,360.3683,0,6,0
255.7335,372.3951,0,6,0
458.4897,292.1852,0,7,0
452.7111,298.6529,0,7,0
425.4801,292.586,0,7,0
414.8897,292.8351,0,7,0
383.0073,298.1398,0,7,0
371.9141,287.0278,0,7,0
341.4835,287.2832,0,7,0
345.0928,297.3565,0,7,0
316.9673,288.3033,0,7,0
298.5951,289.8046,0,7,0
283.9741,296.5438,0,7,0
270.3212,292.8221,0,7,0
259.0111,317.1128,0,7,0
247.7436,324.3553,0,7,0
252.55,338.9434,0,7,0
254.8716,369.4078,0,7,0
455.8806,286.0923,0,8,0
446.8338,281.7151,0,8,0
412.616,282.924,0,8,0
405.6214,289.5868,0,8,0
395.099,289.6955,0,8,0
376.6322,273.3799,0,8,0
357.201,269.9897,0,8,0
343.4655,284.1684,0,8,0
325.8854,289.5023,0,8,0
317.1134,288.5551,0,8,0
293.4677,288.7956,0,8,0
285.6805,279.9846,0,8,0
259.6931,307.8072,0,8,0
250.9447,299.4749,0,8,0
254.3448,326.9628,0,8,0
251.3616,340.4428,0,8,0
250.4571,357.6418,0,8,0
451.2922,293.4945,0,9,0
441.6319,288.3613,0,9,0
422.0409,285.5779,0,9,0
407.7917,287.499,0,9,0
382.4436,289.8642,0,9,0
375.051,294.7916,0,9,0
363.1331,288.2597,0,9,0
352.3141,282.7321,0,9,0
318.0175,286.149,0,9,0
306.2588,288.7859,0,9,0
296.6666,289.9655,0,9,0
275.7551,287.022,0,9,0
263.8036,296.5539,0,9,0
263.2824,306.9788,0,9,0
255.8535,327.7863,0,9,0
246.8274,336.9316,0,9,0
243.3075,355.3697,0,9,0
462.1198,291.2436,0,10,0
407.0218,284.4486,0,10,0
350.2322,292.1905,0,10,0
304.3027,285.705,0,10,0
260.3781,309.7033,0,10,0
257.7566,364.6081,0,10,0
473.649,294.672,0,11,0
451.6858,293.2958,0,11,0
431.0144,302.9524,0,11,0
419.3784,302.3328,0,11,0
399.7293,304.0565,0,11,0
381.2692,304.8685,0,11,0
364.0323,300.0632,0,11,0
345.4379,294.5627,0,11,0
338.0973,298.7139,0,11,0
313.0667,300.877,0,11,0
299.2103,290.8419,0,11,0
289.943,290.7036,0,11,0
276.9853,305.6941,0,11,0
268.275,326.3159,0,11,0
261.7805,339.4543,0,11,0
256.4288,354.8024,0,11,0
261.4731,371.7671,0,11,0
464.0699,290.8821,0,12,0
442.0557,268.8323,0,12,0
419.9377,283.0804,0,12,0
406.2444,282.0473,0,12,0
389.1198,279.1291,0,12,0
377.2028,286.4322,0,12,0
353.8482,277.4387,0,12,0
334.3948,281.5895,0,12,0
308.7988,291.152,0,12,0
307.6335,290.7296,0,12,0
285.6592,292.0482,0,12,0
264.1519,285.1795,0,12,0
254.5305,306.3929,0,12,0
249.5106,320.0847,0,12,0
267.141,343.146,0,12,0
253.0301,352.3858,0,12,0
464.0183,288.7427,0,13,0
450.9245,282.2825,0,13,0
415.5128,289.2932,0,13,0
401.8223,278.1174,0,13,0
394.3669,286.1171,0,13,0
368.2712,292.4824,0,13,0
361.5152,292.6476,0,13,0
339.2104,283.1641,0,13,0
315.6194,275.1436,0,13,0
301.4586,287.59,0,13,0
289.1205,290.1482,0,13,0
272.0276,290.5507,0,13,0
261.5612,297.4147,0,13,0
249.194,325.3625,0,13,0
257.8741,342.3303,0,13,0
257.0146,368.6253,0,13,0
460.5791,287.0722,0,14,0
434.8846,278.5453,0,14,0
420.0186,282.0493,0,14,0
394.7985,291.2116,0,14,0
374.2537,285.3875,0,14,0
353.2304,286.4216,0,14,0
344.1274,284.8755,0,14,0
327.0929,288.9594,0,14,0
302.4949,290.7647,0,14,0
282.1235,288.5038,0,14,0
268.3152,304.468,0,14,0
257.6577,326.5631,0,14,0
257.3902,338.5121,0,14,0
254.5677,362.8114,0,14,0
451.6519,295.7072,0,15,0
435.1988,285.6676,0,15,0
419.8004,287.3625,0,15,0
399.9669,290.1237,0,15,0
386.9188,287.0893,0,15,0
372.7148,287.8596,0,15,0
343.8552,294.2654,0,15,0
333.2607,282.9659,0,15,0
315.4603,291.8931,0,15,0
299.4037,287.5476,0,15,0
281.7419,291.1563,0,15,0
260.5972,301.0547,0,15,0
250.3398,318.1823,0,15,0
248.6771,326.1235,0,15,0
248.1509,344.4944,0,15,0
253.621,358.8362,0,15,0
472.8015,290.4076,0,16,0
442.1719,288.011,0,16,0
424.457,290.9832,0,16,0
418.9598,280.0781,0,16,0
395.666,285.4991,0,16,0
374.9529,281.3293,0,16,0
366.1415,286.958,0,16,0
349.2125,284.3981,0,16,0
322.7742,291.9958,0,16,0
313.1093,290.3829,0,16,0
294.0763,293.4811,0,16,0
279.4398,287.8495,0,16,0
269.5924,292.09,0,16,0
270.99,304.5449,0,16,0
266.8612,322.4381,0,16,0
255.4785,346.3972,0,16,0
254.8076,355.1255,0,16,0
456.9101,285.809,0,17,0
436.2954,295.2798,0,17,0
413.1966,278.1988,0,17,0
403.2177,293.5907,0,17,0
376.8947,283.5126,0,17,0
354.6945,290.4861,0,17,0
341.9818,276.1369,0,17,0
311.6739,284.817,0,17,0
289.6757,283.9165,0,17,0
279.5438,291.9638,0,17,0
261.1572,297.4696,0,17,0
264.5153,326.3461,0,17,0
256.3208,339.6069,0,17,0
256.0859,355.9654,0,17,0
464.7356,283.7016,0,18,0
437.7112,276.9901,0,18,0
413.877,293.5955,0,18,0
393.1487,279.9147,0,18,0
356.8707,284.0404,0,18,0
337.8053,284.8167,0,18,0
301.2175,292.7148,0,18,0
278.3112,287.2496,0,18,0
271.9658,305.2283,0,18,0
256.9331,332.5692,0,18,0
254.6288,362.5858,0,18,0
459.7907,287.7216,0,19,0
433.9376,276.4871,0,19,0
406.3817,286.8634,0,19,0
384.4085,280.6593,0,19,0
357.2209,285.6366,0,19,0
325.9842,287.8664,0,19,0
310.5124,276.6746,0,19,0
288.6878,285.9112,0,19,0
260.6736,297.9503,0,19,0
256.9709,326.5477,0,19,0
243.5564,355.0777,0,19,0
457.1137,290.2134,0,20,0
452.5347,287.5272,0,20,0
431.5877,284.6497,0,20,0
417.0638,278.7976,0,20,0
392.7642,288.2429,0,20,0
385.6334,281.2165,0,20,0
363.6781,276.9352,0,20,0
350.7677,286.0609,0,20,0
332.2608,278.2279,0,20,0
309.6689,278.8518,0,20,0
297.7599,288.3278,0,20,0
280.7994,289.4786,0,20,0
282.8846,285.9733,0,20,0
266.0549,309.2997,0,20,0
256.5784,326.7968,0,20,0
261.3111,337.8029,0,20,0
250.5983,355.7863,0,20,0
465.2542,286.4146,0,21,0
406.3914,284.1862,0,21,0
362.0821,287.8901,0,21,0
307.9001,285.2911,0,21,0
269.2287,296.1894,0,21,0
258.4867,348.7866,0,21,0
468.6006,287.5811,0,22,0
407.5623,281.5583,0,22,0
352.0775,288.7787,0,22,0
296.5598,277.1581,0,22,0
260.8181,304.6071,0,22,0
250.283,354.5985,0,22,0
463.9773,287.6241,0,23,0
442.0461,290.1693,0,23,0
413.538,284.6587,0,23,0
385.3989,286.4103,0,23,0
364.82,281.1499,0,23,0
338.2777,287.5054,0,23,0
314.3694,282.0774,0,23,0
283.9302,289.3092,0,23,0
265.7171,304.6575,0,23,0
254.3926,331.6933,0,23,0
260.2014,348.1298,0,23,0
465.6448,295.6759,0,24,0
442.3336,289.6775,0,24,0
411.0068,295.4348,0,24,0
384.3769,297.0402,0,24,0
361.0938,295.7374,0,24,0
329.3749,304.5718,0,24,0
306.4632,290.3881,0,24,0
290.0084,297.1392,0,24,0
266.0789,321.2782,0,24,0
263.738,339.5507,0,24,0
251.8661,357.493,0,24,0
