trajID,t,x,y,z
1,1,41,106,0
1,2,79,104.5,0
1,3,117.5,103,0
1,4,157.5,101.5,0
1,5,197.5,99.5,0
1,6,241,98,0
1,7,282.5,96.5,0
1,8,324.166666666667,94.8333333333333,0
2,1,52,81,0
2,2,91.5,79.5,0
2,3,130.5,77.5,0
2,4,170.5,75.5,0
2,5,213.5,73.5,0
2,6,257.5,72,0
2,7,300,70,0
2,8,343.166666666667,68.1666666666667,0
3,1,42,100.5,0
3,2,81.5,99.5,0
3,3,121.5,97.5,0
3,4,162.5,97,0
3,5,203.5,95,0
3,6,246,93,0
3,7,289.5,91.5,0
3,8,331.833333333333,89.6666666666667,0
4,1,44.5,79,0
4,2,82.5,77,0
4,3,121.5,76,0
4,4,159,74,0
4,5,199.5,72,0
4,6,243,70.5,0
4,7,284,68.5,0
4,8,325.666666666667,66.6666666666667,0
5,1,317,196.5,0
5,2,295.5,197,0
5,3,274.5,197,0
5,4,253.5,198,0
5,5,233,198,0
5,6,213,199,0
5,7,192.5,199,0
5,8,173.5,200,0
5,9,153,200,0
5,10,135,200.5,0
5,11,115,201,0
5,12,97,201.5,0
5,13,77,202.5,0
5,14,60,203,0
5,15,41.5,203.5,0
5,16,23,204.5,0
5,17,5,205.166666666667,0
6,1,330.5,194,0
6,2,309,194,0
6,3,287.5,194.5,0
6,4,266.5,195,0
6,5,246,195.5,0
6,6,226,196,0
6,7,205.5,196.5,0
6,8,185.5,197.5,0
6,9,166.5,197.5,0
6,10,147,198.5,0
6,11,128.5,199,0
6,12,110,199.5,0
6,13,91.5,199.5,0
6,14,73.5,200.5,0
6,15,55.5,201,0
6,16,38,201.5,0
6,17,21,202.5,0
6,18,3.5,203.166666666667,0
7,1,55.5,54.5,0
7,2,103,52,0
7,3,139,50,0
7,4,181.5,48,0
7,5,225.5,45,0
7,6,269.5,42.5,0
7,7,313,40,0
8,1,51.5,82.5,0
8,2,90.5,81,0
8,3,130,79,0
8,4,169.5,77.5,0
8,5,210.5,75.5,0
8,6,253,73.5,0
8,7,295,71.5,0
8,8,336.833333333333,69.5,0
9,1,46.5,119,0
9,2,82.5,117.5,0
9,3,118,117,0
9,4,154,116,0
9,5,191,114.5,0
9,6,228.5,113.5,0
9,7,267.5,111.5,0
9,8,307,110.5,0
9,9,345.666666666667,109.166666666667,0
10,1,303.5,193,0
10,2,280.5,194,0
10,3,257,194,0
10,4,234.5,194,0
10,5,212,195,0
10,6,190,195,0
10,7,167.5,195.5,0
10,8,146,196,0
10,9,123.5,195.5,0
10,10,102.5,196.5,0
10,11,81,197,0
10,12,61,197.5,0
10,13,39,197.5,0
