icao24,callsign,longitude,latitude,baro_altitude,velocity,on_ground,heading,vertical_rate,squawk,time,type,engineCount,engineType,manufacturer,operator
'060021', 'MAU34',2.44,48.9153,3246.12,146.11,'False',265.15,-6.5, '1000',1550817589,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.4208,48.9141,3185.16,145.33,'False',264.11,-6.5, '1000',1550817598,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.3815,48.9111,3055.62,143.51,'False',263.21,-7.48, '1000',1550817619,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.3621,48.9096,2979.42,142.49,'False',263.16,-8.13, '1000',1550817628,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.3426,48.9081,2895.6,141.92,'False',263.34,-8.13, '1000',1550817639,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.3225,48.9065,2827.02,141.35,'False',263.52,-4.88, '1000',1550817649,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.3062,48.9053,2788.92,140.32,'False',263.47,-4.88, '1000',1550817658,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.2843,48.9036,2735.58,140.32,'False',263.47,-5.53, '1000',1550817669,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.2659,48.9023,2674.62,140.78,'False',263.71,-5.53, '1000',1550817679,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.2458,48.9008,2628.9,140.27,'False',263.68,-4.23, '1000',1550817689,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.2088,48.8981,2567.94,140.27,'False',263.68,-2.28, '1000',1550817709,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.189,48.8966,2537.46,140.78,'False',263.71,-2.6, '1000',1550817719,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.1689,48.8951,2514.6,141.35,'False',263.52,-1.95, '1000',1550817730,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.1502,48.8937,2484.12,141.8,'False',263.75,-2.6, '1000',1550817739,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.1313,48.8923,2461.26,140.83,'False',263.5,-2.93, '1000',1550817749,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.112,48.8908,2438.4,136.69,'False',263.52,-0.33, '1000',1550817759,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.0937,48.8894,2438.4,130.95,'False',263.68,0.33, '1000',1550817770,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.0774,48.8893,2430.78,126.47,'False',277.01,-1.95, '1000',1550817779,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.0611,48.8929,2400.3,122.44,'False',298.07,-4.55, '1000',1550817789,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.0643,48.9431,1996.44,109.08,'False',54.21,-6.5, '1000',1550817849,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.0764,48.9486,1927.86,108.01,'False',56.46,-6.83, '1000',1550817859,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.0891,48.9541,1851.66,107.16,'False',57.15,-7.15, '1000',1550817869,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.1131,48.964,1691.64,107.2,'False',59.74,-9.75, '1000',1550817889,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.1287,48.9677,1600.2,107.18,'False',75.83,-6.18, '1000',1550817900,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.1414,48.9692,1569.72,105.06,'False',81.55,-3.25, '1000',1550817909,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.1569,48.9703,1531.62,102.15,'False',85.67,-3.58, '1000',1550817920,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.1671,48.9707,1493.52,100.57,'False',85.89,-4.88, '1000',1550817927,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.1825,48.9716,1470.66,97.54,'False',85.46,-1.63, '1000',1550817939,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.1953,48.9723,1440.18,92.55,'False',84.26,-5.85, '1000',1550817949,'Landplane',4,'Jet','Airbus','MAU'
'060021', 'MAU34',2.2086,48.9732,1386.84,101.6,'False',85.94,-3.9, '1000',1550817959,'Landplane',4,'Jet','Airbus','MAU'
'3000c7', '',2.5918,48.9976,60.96,80.36,'False',87.06,13.66, '1000',1550817679,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.6022,48.9979,205.74,79.82,'False',87.41,16.58, '1000',1550817689,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.6212,48.9986,480.06,79.87,'False',86.68,13.66, '1000',1550817709,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.6316,48.999,617.22,80.97,'False',85.99,13.98, '1000',1550817719,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.6434,48.9995,762,80.49,'False',85.6,15.28, '1000',1550817730,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.6532,49.0001,899.16,78.99,'False',85.14,14.63, '1000',1550817739,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.6636,49.0007,1005.84,84.21,'False',84.74,8.45, '1000',1550817749,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.6744,49.0013,1082.04,90.4,'False',84.78,7.8, '1000',1550817759,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.6864,49.002,1150.62,96.6,'False',84.81,7.8, '1000',1550817769,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.6991,49.0028,1196.34,105.91,'False',84.7,4.55, '1000',1550817779,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.7105,49.0035,1257.3,112.57,'False',85.02,10.08, '1000',1550817789,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.7395,49.0052,1447.8,125.52,'False',84.83,11.05, '1000',1550817809,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.7546,49.0061,1531.62,131.72,'False',84.85,12.03, '1000',1550817819,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.7681,49.0068,1638.3,135.86,'False',84.79,15.28, '1000',1550817828,'Landplane',2,'Jet','Airbus','AZA'
'3000c7', 'AZA317',2.7859,49.0079,1790.7,137.35,'False',85.06,19.51, '1000',1550817839,'Landplane',2,'Jet','Airbus','AZA'
